Sample	s_name	totalpairs	discardpairs	percdiscard	combopairs	inniepairs	outiepairs	uncombopairs	perccombo
ERR6913154_1	ERR6913154_1	19622	0	0	14072	0	0	5550	71.72
ERR6913157_1	ERR6913157_1	85864	0	0	78914	0	0	6950	91.91
ERR6913161_1	ERR6913161_1	42260	0	0	32795	0	0	9465	77.6
ERR6913165_1	ERR6913165_1	102803	0	0	92750	0	0	10053	90.22
ERR6913170_1	ERR6913170_1	8066	0	0	6733	0	0	1333	83.47
ERR6913250_1	ERR6913250_1	84774	0	0	76104	0	0	8670	89.77
ERR6913253_1	ERR6913253_1	14983	0	0	14110	0	0	873	94.17
ERR6913257_1	ERR6913257_1	27119	0	0	22991	0	0	4128	84.78
ERR6913261_1	ERR6913261_1	4205	0	0	3982	0	0	223	94.7
ERR6913266_1	ERR6913266_1	4515	0	0	4047	0	0	468	89.63
