Sample	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FLASh_mqc-generalstats-flash-combopairs	FLASh_mqc-generalstats-flash-perccombo
ERR6913154_1		6.961573743757015	42.0	134.1847925797574	151	10.0	19622.0	14072	71.72
ERR6913154_2		6.94628478238711	42.0	134.1785750688003	151	10.0	19622.0		
ERR6913157_1		9.096944004472192	50.0	130.0386425044256	142	10.0	85864.0	78914	91.91
ERR6913157_2		9.008431938880094	50.0	130.03099086928165	142	10.0	85864.0		
ERR6913161_1		9.266445811642214	55.0	132.730099384761	147	10.0	42260.0	32795	77.6
ERR6913161_2		9.152863227638434	55.0	132.72619498343587	147	10.0	42260.0		
ERR6913165_1		7.387916695038072	50.0	129.91441883991712	142	0.0	102803.0	92750	90.22
ERR6913165_2		7.346089121912783	50.0	129.90425376691343	142	10.0	102803.0		
ERR6913170_1		7.822960575254157	48.0	132.11492685345897	147	10.0	8066.0	6733	83.47
ERR6913170_2		7.760971981155464	48.0	132.08207289858666	147	10.0	8066.0		
ERR6913250_1		71.97725717790831	49.0	131.72845447896762	147	30.0	84774.0	76104	89.77
ERR6913250_2		71.54905985325689	49.0	131.7193007289971	147	30.0	84774.0		
ERR6913253_1		13.435226590135485	50.0	110.11539745044384	117	20.0	14983.0	14110	94.17
ERR6913253_2		13.428552359340586	50.0	110.10985783888407	117	20.0	14983.0		
ERR6913257_1		28.16844278918839	56.0	135.72491611047604	147	0.0	27119.0	22991	84.78
ERR6913257_2		27.89188391902357	56.0	135.72742357756553	147	0.0	27119.0		
ERR6913261_1		10.986920332936975	50.0	120.32009512485136	127	20.0	4205.0	3982	94.7
ERR6913261_2		11.01070154577883	50.0	120.37740784780024	127	20.0	4205.0		
ERR6913266_1		13.643410852713174	48.0	113.7718715393134	122	20.0	4515.0	4047	89.63
ERR6913266_2		13.709856035437426	48.0	113.8358803986711	122	20.0	4515.0		
x_mager_bowtie_merged2PhiX	0.0								
x_mager_bowtie_merged2SC2	0.0								
x_mager_bowtie_merged2StrO	0.0								
x_mager_bowtie_merged2StrS	0.44								
